Designator,Mid X,Mid Y,Rotation,Layer
C1,25.1625,-39.85,270.0,top
C2,35.1875,-39.9,90.0,top
C3,19.812,-73.406,0.0,top
D1,84.06,-54.0,180.0,top
D2,71.546666,-54.0,180.0,top
D3,59.033333,-54.0,180.0,top
D4,46.52,-54.0,180.0,top
D5,84.06,-60.706,0.0,top
D6,71.501,-60.706,0.0,top
D7,58.928,-60.706,0.0,top
D8,46.482,-60.706,0.0,top
J1,29.0425,-28.0,270.0,top
J2,84.04,-29.7125,180.0,top
J3,71.526666,-29.7125,180.0,top
J4,59.013333,-29.7125,180.0,top
J5,46.5,-29.7125,180.0,top
J6,46.5,-46.2,180.0,top
J7,59.013333,-46.2,180.0,top
J8,71.526666,-46.2,180.0,top
J9,84.04,-46.2,180.0,top
Q1,89.789,-54.102,90.0,top
Q2,76.878833,-54.102,90.0,top
Q3,64.398499,-54.102,90.0,top
Q4,51.885166,-54.102,90.0,top
R1,38.1,-47.6,90.0,top
R10,92.789,-54.102,90.0,top
R11,79.878833,-54.102,90.0,top
R12,67.398499,-54.102,90.0,top
R13,54.885166,-54.102,90.0,top
R14,52.885166,-58.102,90.0,top
R15,65.398499,-58.102,90.0,top
R16,77.878833,-58.102,90.0,top
R17,90.789,-58.102,90.0,top
R2,46.5,-72.0,0.0,top
R3,59.013333,-72.0,0.0,top
R4,71.526666,-72.0,0.0,top
R5,83.855,-72.0,0.0,top
R6,84.04,-57.15,180.0,top
R7,71.481,-57.15,0.0,top
R8,58.908,-57.15,180.0,top
R9,46.482,-57.15,180.0,top
SW1,46.5,-76.5,180.0,top
SW2,59.013333,-76.5,180.0,top
SW3,71.526666,-76.5,180.0,top
SW4,84.04,-76.5,180.0,top
SW5,30.6,-47.6,270.0,top
U1,30.6,-66.805,90.0,top
U2,30.3,-39.8,90.0,top
U3,90.84564,-67.346379,0.0,top
